Tesla Inc.,APPLE,Google,Intel,Microsoft,Nvidia,Cocacola
322.05,195.64,177.23,20.80,478.04,144.12,69.62
316.35,198.42,177.94,20.74,479.14,144.69,70.52
329.13,196.45,175.88,20.14,474.96,141.97,71.02
325.31,199.20,176.97,20.77,478.87,145.00,72.24
319.11,198.78,178.79,20.68,472.62,142.83,72.07
326.43,202.67,180.01,22.08,470.92,143.96,72.35
326.09,201.45,177.63,20.48,472.75,142.63,71.77
308.58,203.92,174.92,20.06,470.38,141.72,71.35
295.14,200.63,169.81,19.99,467.68,139.99,70.91
284.70,202.82,169.39,20.25,463.87,141.92,71.37
332.05,203.27,167.71,20.29,462.97,141.22,71.16
344.27,201.70,170.37,19.74,461.97,137.38,72.00
342.69,200.85,172.85,19.55,460.36,135.13,72.10
346.46,199.95,172.96,20.25,458.68,139.19,71.49
358.43,200.42,173.38,20.37,457.36,134.81,71.15
356.90,200.21,173.98,20.55,460.69,135.50,71.78
362.89,195.27,169.59,20.05,450.18,131.29,71.77
339.34,201.36,171.98,20.55,454.86,132.83,71.14
341.04,202.09,170.06,20.69,452.57,131.80,71.85
334.62,206.86,165.32,21.27,458.17,134.38,71.69
343.82,208.78,167.87,21.38,458.87,135.57,71.93
342.09,211.26,167.43,21.66,454.27,135.40,72.00
349.98,211.45,165.40,21.55,453.13,134.83,71.61
342.82,212.33,166.81,21.52,452.94,135.34,69.16
347.68,212.93,160.89,22.56,449.14,129.93,68.96
334.07,210.79,159.58,22.18,449.26,123.00,69.53
318.38,198.53,154.38,21.42,438.73,116.65,70.52
298.26,197.49,155.75,21.00,438.17,117.37,71.17
284.82,196.25,152.80,20.31,433.35,117.06,72.40
276.22,198.51,165.20,19.94,433.31,113.54,71.72
275.35,198.89,166.05,20.27,436.17,113.82,71.70
280.26,205.35,165.81,20.62,435.28,114.50,71.65
287.21,213.32,162.79,19.98,425.40,111.61,71.29
280.52,212.50,160.89,20.10,395.26,108.92,72.55
282.16,211.21,162.06,20.34,394.04,109.02,72.35
292.03,210.14,162.42,20.51,391.16,108.73,71.79
