Date,Open,High,Low,Close,Volume
6/17/2025,197.20,198.39,195.21,195.64,38856152.00
6/16/2025,197.30,198.69,196.56,198.42,43020688.00
6/13/2025,199.73,200.37,195.70,196.45,51447352.00
6/12/2025,199.08,199.68,197.36,199.20,43904641.00
6/11/2025,203.50,204.50,198.41,198.78,60989859.00
6/10/2025,200.60,204.35,200.57,202.67,54672609.00
6/9/2025,204.39,206.00,200.02,201.45,72862562.00
6/6/2025,203.00,205.70,202.05,203.92,46607688.00
6/5/2025,203.50,204.75,200.15,200.63,55221238.00
6/4/2025,202.91,206.24,202.10,202.82,43603992.00
6/3/2025,201.35,203.77,200.96,203.27,46381566.00
6/2/2025,200.28,202.13,200.12,201.70,35423289.00
5/30/2025,199.37,201.96,196.78,200.85,70819938.00
5/29/2025,203.58,203.81,198.51,199.95,51477941.00
5/28/2025,200.59,202.73,199.90,200.42,45339680.00
5/27/2025,198.30,200.74,197.43,200.21,56288480.00
5/23/2025,193.67,197.70,193.46,195.27,78432922.00
5/22/2025,200.71,202.75,199.70,201.36,46742406.00
5/21/2025,205.17,207.04,200.71,202.09,59211770.00
5/20/2025,207.67,208.47,205.03,206.86,42496641.00
5/19/2025,207.91,209.48,204.26,208.78,46140527.00
5/16/2025,212.36,212.57,209.77,211.26,54737848.00
5/15/2025,210.95,212.96,209.54,211.45,45029473.00
5/14/2025,212.43,213.94,210.58,212.33,49325832.00
5/13/2025,210.43,213.40,209.00,212.93,51909328.00
5/12/2025,210.97,211.27,206.75,210.79,63775809.00
5/9/2025,199.00,200.54,197.54,198.53,36453922.00
5/8/2025,197.72,200.05,194.68,197.49,50478871.00
5/7/2025,199.17,199.44,193.25,196.25,68616945.00
5/6/2025,198.21,200.65,197.02,198.51,51216480.00
5/5/2025,203.10,204.10,198.21,198.89,69018445.00
5/2/2025,206.09,206.99,202.16,205.35,101010602.00
5/1/2025,209.08,214.56,208.90,213.32,57365680.00
4/30/2025,209.30,213.58,206.67,212.50,52286449.00
4/29/2025,208.69,212.24,208.37,211.21,36827633.00
4/28/2025,210.00,211.50,207.46,210.14,38743070.00
4/25/2025,206.37,209.75,206.20,209.28,38222262.00
4/24/2025,204.89,208.83,202.94,208.37,47310992.00
4/23/2025,206.00,208.00,202.80,204.60,52929168.00
4/22/2025,196.12,201.59,195.97,199.74,52976367.00
4/21/2025,193.27,193.80,189.81,193.16,46742539.00
4/17/2025,197.20,198.83,194.42,196.98,52164680.00
4/16/2025,198.36,200.70,192.37,194.27,59732422.00
4/15/2025,201.86,203.51,199.80,202.14,51343871.00
4/14/2025,211.44,212.94,201.16,202.52,101352898.00
4/11/2025,186.10,199.54,186.06,198.15,87435922.00
4/10/2025,189.07,194.78,183.00,190.42,121880000.00
4/9/2025,171.95,200.61,171.89,198.85,184395906.00
4/8/2025,186.70,190.34,169.21,172.42,120859508.00
4/7/2025,177.20,194.15,174.62,181.46,160466297.00
4/4/2025,193.89,199.88,187.34,188.38,125910898.00
4/3/2025,205.54,207.49,201.25,203.19,103419000.00
4/2/2025,221.32,225.19,221.02,223.89,35905898.00
4/1/2025,219.81,223.68,218.90,223.19,36412738.00
3/31/2025,217.01,225.62,216.23,222.13,65299320.00
3/28/2025,221.67,223.81,217.68,217.90,39818621.00
3/27/2025,221.39,224.99,220.56,223.85,37094770.00
3/26/2025,223.51,225.02,220.47,221.53,34532660.00
3/25/2025,220.77,224.10,220.08,223.75,34493578.00
3/24/2025,221.00,221.48,218.58,220.73,44299480.00
3/21/2025,211.56,218.84,211.28,218.27,94127766.00
3/20/2025,213.99,217.49,212.22,214.10,48862953.00
3/19/2025,214.22,218.76,213.75,215.24,54385391.00
3/18/2025,214.16,215.15,211.49,212.69,42432434.00
3/17/2025,213.31,215.22,209.97,214.00,48073434.00
3/14/2025,211.25,213.95,209.58,213.49,60107578.00
3/13/2025,215.95,216.84,208.42,209.68,61368328.00
3/12/2025,220.14,221.75,214.91,216.98,62547473.00
3/11/2025,223.81,225.84,217.45,220.84,76137406.00
3/10/2025,235.54,236.16,224.22,227.48,72071203.00
3/7/2025,235.11,241.37,234.76,239.07,46273566.00
3/6/2025,234.44,237.86,233.16,235.33,45170422.00
3/5/2025,235.42,236.55,229.23,235.74,47227641.00
3/4/2025,237.71,240.07,234.68,235.93,53798059.00
3/3/2025,241.79,244.03,236.11,238.03,47183992.00
2/28/2025,236.95,242.09,230.20,241.84,56833359.00
2/27/2025,239.41,242.46,237.06,237.30,41153641.00
2/26/2025,244.33,244.98,239.13,240.36,44433559.00
2/25/2025,248.00,250.00,244.91,247.04,48013273.00
2/24/2025,244.93,248.86,244.42,247.10,51326398.00
2/21/2025,245.95,248.69,245.22,245.55,53197434.00
2/20/2025,244.94,246.78,244.29,245.83,32316910.00
2/19/2025,244.66,246.01,243.16,244.87,32204221.00
2/18/2025,244.15,245.18,241.84,244.47,48822488.00
2/14/2025,241.25,245.55,240.99,244.60,40896230.00
2/13/2025,236.91,242.34,235.57,241.53,53614047.00
2/12/2025,231.20,236.96,230.68,236.87,45243289.00
2/11/2025,228.20,235.23,228.13,232.62,53718359.00
2/10/2025,229.57,230.59,227.20,227.65,33115648.00
2/7/2025,232.60,234.00,227.26,227.63,39707219.00
2/6/2025,231.29,233.80,230.43,233.22,29925350.00
2/5/2025,228.53,232.67,228.27,232.47,39664992.00
2/4/2025,227.25,233.13,226.65,232.80,45067301.00
2/3/2025,229.99,231.83,225.70,228.01,73063297.00
1/31/2025,247.19,247.19,233.44,236.00,101075102.00
1/30/2025,238.67,240.79,237.21,237.59,55658281.00
1/29/2025,234.12,239.86,234.01,239.36,45486102.00
1/28/2025,230.85,240.19,230.81,238.26,75707570.00
1/27/2025,224.02,232.15,223.98,229.86,94863422.00
1/24/2025,224.78,225.63,221.41,222.78,54697910.00
1/23/2025,224.74,227.03,222.30,223.66,60234762.00
1/22/2025,219.79,224.12,219.79,223.83,64126500.00
1/21/2025,224.00,224.42,219.38,222.64,98070430.00
1/17/2025,232.12,232.29,228.48,229.98,68488305.00
1/16/2025,237.35,238.01,228.03,228.26,71759047.00
1/15/2025,234.64,238.96,234.43,237.87,39831969.00
1/14/2025,234.75,236.12,232.47,233.28,39435289.00
1/13/2025,233.53,234.67,229.72,234.40,49630727.00
1/10/2025,240.01,240.16,233.00,236.85,61710859.00
1/8/2025,241.92,243.71,240.05,242.70,37628941.00
1/7/2025,242.98,245.55,241.35,242.21,40855961.00
1/6/2025,244.31,247.33,243.20,245.00,45045566.00
1/3/2025,243.36,244.18,241.89,243.36,40244113.00
1/2/2025,248.93,249.10,241.82,243.85,55740727.00
12/31/2024,252.44,253.28,249.43,250.42,39480719.00
12/30/2024,252.23,253.50,250.75,252.20,35557539.00
12/27/2024,257.83,258.70,253.06,255.59,42355320.00
12/26/2024,258.19,260.10,257.63,259.02,27262980.00
12/24/2024,255.49,258.21,255.29,258.20,23234711.00
12/23/2024,254.77,255.65,253.45,255.27,40858770.00
12/20/2024,248.04,255.00,245.69,254.49,147495297.00
12/19/2024,247.50,252.00,247.09,249.79,60882262.00
12/18/2024,252.16,254.28,247.74,248.05,56774102.00
12/17/2024,250.08,253.83,249.78,253.48,51356359.00
12/16/2024,247.99,251.38,247.65,251.04,51694754.00
12/13/2024,247.82,249.29,246.24,248.13,33155289.00
12/12/2024,246.89,248.74,245.68,247.96,32777531.00
12/11/2024,247.96,250.80,246.26,246.49,45205809.00
12/10/2024,246.89,248.21,245.34,247.77,36914809.00
12/9/2024,241.83,247.24,241.75,246.75,44649230.00
12/6/2024,242.91,244.63,242.08,242.84,36870621.00
12/5/2024,243.99,244.54,242.13,243.04,40033879.00
12/4/2024,242.87,244.11,241.25,243.01,44383941.00
12/3/2024,239.81,242.76,238.90,242.65,38861020.00
12/2/2024,237.27,240.79,237.16,239.59,48137102.00
11/29/2024,234.81,237.81,233.97,237.33,28481381.00
11/27/2024,234.47,235.69,233.81,234.93,33498441.00
11/26/2024,233.33,235.57,233.33,235.06,45986191.00
