Date,Open,High,Low,Close,Volume
6/17/2025,177.00,178.72,175.94,177.23,17656119.00
6/16/2025,175.91,178.25,175.82,177.94,18132529.00
6/13/2025,173.58,178.34,173.57,175.88,20873240.00
6/12/2025,177.48,178.13,176.11,176.97,17345920.00
6/11/2025,181.23,181.75,178.00,178.79,18994400.00
6/10/2025,177.76,182.45,176.48,180.01,32908000.00
6/9/2025,175.87,177.92,175.66,177.63,18817590.00
6/6/2025,172.30,175.83,172.30,174.92,22258119.00
6/5/2025,171.62,172.36,169.35,169.81,25422881.00
6/4/2025,168.28,169.58,167.80,169.39,18508740.00
6/3/2025,168.87,169.80,166.68,167.71,25386711.00
6/2/2025,169.01,171.06,168.65,170.37,24742881.00
5/30/2025,172.41,173.44,168.53,172.85,36258246.00
5/29/2025,175.00,175.40,171.78,172.96,21233590.00
5/28/2025,173.98,176.48,173.01,173.38,25999230.00
5/27/2025,171.30,174.29,171.21,173.98,24341330.00
5/23/2025,170.28,171.21,169.26,169.59,24963650.00
5/22/2025,173.35,178.13,171.88,171.98,45024078.00
5/21/2025,164.95,174.53,164.89,170.06,45567578.00
5/20/2025,167.76,169.68,164.26,165.32,33563273.00
5/19/2025,165.72,167.95,165.42,167.87,21374689.00
5/16/2025,168.93,170.65,166.95,167.43,36271379.00
5/15/2025,167.14,167.51,163.84,165.40,22717551.00
5/14/2025,161.31,168.34,160.93,166.81,31769211.00
5/13/2025,159.92,162.06,157.58,160.89,24944270.00
5/12/2025,159.10,160.44,157.89,159.58,31884900.00
5/9/2025,155.55,156.43,153.83,154.38,22871039.00
5/8/2025,155.92,157.41,154.10,155.75,38387512.00
5/7/2025,166.07,166.99,149.49,152.80,78900430.00
5/6/2025,163.96,166.74,163.13,165.20,10691950.00
5/5/2025,164.52,167.10,164.47,166.05,15309340.00
5/2/2025,164.96,166.70,163.66,165.81,16844939.00
5/1/2025,162.52,163.94,160.93,162.79,21904289.00
4/30/2025,159.86,161.37,157.16,160.89,20639520.00
4/29/2025,162.05,162.68,159.39,162.06,15955220.00
4/28/2025,164.26,164.95,160.38,162.42,20871150.00
4/25/2025,167.10,168.24,163.00,163.85,35148047.00
4/24/2025,158.53,161.71,158.09,161.47,30787480.00
4/23/2025,157.91,160.02,156.35,157.72,18575740.00
4/22/2025,151.07,154.61,150.87,153.90,15910330.00
4/21/2025,150.97,151.06,148.40,149.86,16147780.00
4/17/2025,156.61,157.07,150.90,153.36,19513410.00
4/16/2025,155.47,158.18,153.91,155.50,16921500.00
4/15/2025,161.57,162.05,157.65,158.68,15690780.00
4/14/2025,162.31,164.03,159.92,161.47,18255930.00
4/11/2025,155.59,159.86,155.59,159.40,22581990.00
4/10/2025,158.76,160.03,152.20,155.37,35270539.00
4/9/2025,146.33,161.87,145.81,161.06,46479539.00
4/8/2025,153.58,154.44,145.21,146.58,35304391.00
4/7/2025,143.39,154.93,142.66,149.24,47823020.00
4/4/2025,149.90,153.09,147.54,147.74,39832207.00
4/3/2025,152.84,154.69,152.18,152.63,28416070.00
4/2/2025,156.96,160.28,156.53,158.86,17113320.00
4/1/2025,155.30,160.08,155.26,158.88,20111381.00
3/31/2025,154.81,157.13,152.21,156.23,33591551.00
3/28/2025,162.36,163.81,155.34,156.06,34866461.00
3/27/2025,166.71,167.44,163.85,164.08,21571170.00
3/26/2025,171.30,171.94,166.86,167.14,22554240.00
3/25/2025,171.18,172.91,170.55,172.79,13841590.00
3/24/2025,169.27,170.50,167.44,169.93,18742850.00
3/21/2025,163.38,166.47,163.03,166.25,29882061.00
3/20/2025,163.83,167.03,163.14,165.05,19981510.00
3/19/2025,163.92,168.13,163.05,166.28,24955721.00
3/18/2025,165.96,166.44,158.80,162.67,24616779.00
3/17/2025,167.33,168.46,165.81,166.57,17839141.00
3/14/2025,165.32,168.25,164.51,167.62,18611090.00
3/13/2025,167.98,168.12,164.07,164.73,15206170.00
3/12/2025,168.47,169.53,165.48,169.00,19880061.00
3/11/2025,166.68,168.66,163.24,165.98,23705900.00
3/10/2025,170.16,170.45,165.57,167.81,28990721.00
3/7/2025,173.24,176.90,172.25,175.75,16395289.00
3/6/2025,172.55,176.73,172.51,174.21,19082400.00
3/5/2025,172.32,175.75,170.93,174.99,18848039.00
3/4/2025,167.94,175.17,167.54,172.61,30711410.00
3/3/2025,173.73,175.00,167.64,168.66,24121990.00
2/28/2025,170.30,172.50,168.39,172.22,30049811.00
2/27/2025,175.94,176.59,169.75,170.21,25930529.00
2/26/2025,176.95,178.08,173.59,174.70,23693250.00
2/25/2025,180.16,180.76,176.77,177.37,20832490.00
2/24/2025,183.80,185.09,180.88,181.19,18734010.00
2/21/2025,187.29,187.47,181.13,181.58,19520779.00
2/20/2025,186.50,187.12,184.60,186.64,12063810.00
2/19/2025,186.19,187.36,185.50,187.13,13120470.00
2/18/2025,187.44,187.78,183.58,185.80,19796029.00
2/14/2025,186.83,188.15,186.11,186.87,12714150.00
2/13/2025,185.93,187.99,184.88,187.88,12729330.00
2/12/2025,185.23,186.83,183.63,185.43,17632311.00
