Date,Open,High,Low,Close,Volume
6/17/2025,20.63,21.48,20.62,20.80,87512156.00
6/16/2025,20.41,20.93,20.30,20.74,86745117.00
6/13/2025,20.33,20.60,20.10,20.14,87655891.00
6/12/2025,20.50,20.98,20.41,20.77,78175914.00
6/11/2025,21.78,21.83,20.38,20.68,146784500.00
6/10/2025,20.50,22.44,20.28,22.08,171456984.00
6/9/2025,20.22,20.96,20.22,20.48,92893906.00
6/6/2025,20.17,20.44,20.03,20.06,70072852.00
6/5/2025,20.27,20.55,19.85,19.99,72595609.00
6/4/2025,20.34,20.50,20.01,20.25,71166555.00
6/3/2025,19.75,20.41,19.40,20.29,80401875.00
6/2/2025,19.48,19.82,19.37,19.74,67885469.00
5/30/2025,20.26,20.26,19.31,19.55,114281906.00
5/29/2025,20.54,20.60,20.10,20.25,66485211.00
5/28/2025,20.57,20.64,20.33,20.37,46096480.00
5/27/2025,20.44,20.67,20.18,20.55,69504562.00
5/23/2025,20.16,20.27,19.94,20.05,68206062.00
5/22/2025,20.73,20.90,20.51,20.55,56077473.00
5/21/2025,21.19,21.63,20.59,20.69,62904699.00
5/20/2025,21.33,21.41,21.12,21.27,48497379.00
5/19/2025,21.18,21.56,21.05,21.38,64279078.00
5/16/2025,21.53,21.76,21.35,21.66,55795141.00
5/15/2025,21.23,21.63,21.19,21.55,66705461.00
5/14/2025,22.35,22.46,21.46,21.52,91584828.00
5/13/2025,22.36,22.88,22.30,22.56,76850391.00
5/12/2025,22.18,22.67,21.88,22.18,94578688.00
5/9/2025,21.20,21.45,20.83,21.42,51768566.00
5/8/2025,21.01,21.24,20.64,21.00,71651695.00
5/7/2025,19.97,20.37,19.82,20.31,61134289.00
5/6/2025,19.92,20.12,19.77,19.94,51330770.00
5/5/2025,20.39,20.58,20.24,20.27,44236980.00
5/2/2025,20.26,20.78,20.21,20.62,63298512.00
5/1/2025,20.22,20.65,19.94,19.98,72607516.00
4/30/2025,19.71,20.18,19.55,20.10,68297320.00
4/29/2025,20.31,20.85,20.22,20.34,70031859.00
4/28/2025,20.12,21.08,20.05,20.51,96624414.00
4/25/2025,19.73,20.18,19.34,20.05,147711203.00
4/24/2025,21.04,21.55,20.88,21.49,117086203.00
4/23/2025,20.72,21.03,20.31,20.59,97188094.00
4/22/2025,19.06,19.74,19.04,19.51,83365633.00
4/21/2025,18.93,18.99,18.25,18.84,72409953.00
4/17/2025,18.91,19.10,18.56,18.93,85646672.00
4/16/2025,19.34,19.43,18.72,19.23,89469695.00
4/15/2025,20.20,20.47,19.81,19.85,64056898.00
4/14/2025,20.59,21.05,19.98,20.31,101964398.00
4/11/2025,19.25,19.80,18.18,19.74,128425797.00
4/10/2025,20.68,20.82,19.16,19.88,129064898.00
4/9/2025,18.07,21.73,17.98,21.53,224183500.00
4/8/2025,20.06,20.39,17.67,18.13,163982703.00
4/7/2025,19.14,20.67,18.56,19.57,142491203.00
4/4/2025,21.70,22.20,19.70,19.85,175014703.00
4/3/2025,21.40,23.90,20.86,22.43,242972094.00
4/2/2025,21.89,22.38,21.70,21.98,58878848.00
4/1/2025,22.56,22.62,21.66,22.05,64060359.00
3/31/2025,22.38,22.75,21.75,22.71,65832023.00
3/28/2025,23.35,23.58,22.56,22.71,58365262.00
3/27/2025,23.29,23.76,22.86,23.62,57720578.00
3/26/2025,24.25,24.42,23.25,23.42,59678008.00
3/25/2025,24.18,24.75,24.11,24.20,51743281.00
3/24/2025,24.72,24.99,24.13,24.22,69169031.00
3/21/2025,23.60,24.70,23.49,24.26,94110711.00
3/20/2025,23.77,24.31,23.73,23.96,68937586.00
3/19/2025,24.90,25.23,24.03,24.12,135491391.00
3/18/2025,25.55,26.41,25.39,25.92,132488797.00
3/17/2025,24.42,26.15,24.37,25.69,160723594.00
3/14/2025,23.68,24.37,23.52,24.05,116901602.00
3/13/2025,23.50,24.53,23.13,23.70,243260984.00
3/12/2025,20.79,21.17,20.21,20.68,128671102.00
3/11/2025,19.97,20.06,19.29,19.78,80788992.00
3/10/2025,20.24,20.51,19.65,19.93,82760578.00
3/7/2025,20.27,21.20,20.11,20.64,81099648.00
3/6/2025,20.26,21.13,20.00,20.75,96466383.00
3/5/2025,21.33,21.36,20.18,20.81,127219297.00
3/4/2025,22.54,22.63,20.76,21.33,152182203.00
3/3/2025,25.00,25.04,22.52,22.74,141348703.00
2/28/2025,23.02,24.44,22.64,23.73,104133797.00
2/27/2025,23.70,24.40,23.07,23.09,97871953.00
2/26/2025,23.25,23.82,23.21,23.52,67449297.00
2/25/2025,24.21,24.28,22.77,22.99,88886469.00
2/24/2025,24.55,24.80,23.62,24.27,91358070.00
2/21/2025,25.96,26.29,24.84,24.87,111630898.00
2/20/2025,25.56,26.12,24.48,26.09,144939594.00
2/19/2025,25.98,26.33,25.46,25.72,151881703.00
2/18/2025,24.60,27.55,24.49,27.39,284292188.00
2/14/2025,24.36,25.19,22.86,23.60,230254094.00
2/13/2025,22.84,24.83,22.79,24.13,248661297.00
2/12/2025,21.98,22.56,20.93,22.48,162631203.00
2/11/2025,19.87,21.88,19.86,20.97,150960703.00
2/10/2025,19.25,20.08,19.24,19.77,73007273.00
2/7/2025,19.35,19.36,19.03,19.10,58277922.00
2/6/2025,19.51,19.70,19.22,19.38,45553770.00
2/5/2025,19.19,19.77,18.91,19.65,66250250.00
2/4/2025,19.10,19.53,19.02,19.29,54098199.00
2/3/2025,18.97,19.75,18.78,19.38,77523133.00
1/31/2025,20.10,20.33,19.38,19.43,117474898.00
1/30/2025,19.72,20.10,19.43,20.01,108167000.00
1/29/2025,19.87,20.08,19.66,19.75,86506812.00
1/28/2025,20.34,20.34,19.74,19.80,73411391.00
1/27/2025,20.81,21.06,20.14,20.29,83582094.00
1/24/2025,21.36,21.41,20.75,20.83,66300609.00
1/23/2025,21.69,21.75,21.35,21.57,55778160.00
1/22/2025,21.73,22.29,21.57,21.86,60972578.00
1/21/2025,22.03,22.41,21.75,21.77,96262180.00
1/17/2025,21.26,21.62,20.79,21.49,166483906.00
1/16/2025,19.75,19.95,19.40,19.67,44898059.00
1/15/2025,19.40,19.77,19.17,19.72,56305992.00
1/14/2025,19.36,19.52,18.82,19.20,47147527.00
1/13/2025,18.92,19.25,18.73,19.20,50668969.00
1/10/2025,19.66,19.66,18.91,19.15,71244578.00
1/8/2025,19.83,20.12,19.71,19.88,47897070.00
1/7/2025,20.02,20.34,19.90,20.01,61726059.00
1/6/2025,20.83,20.98,19.78,19.87,83270992.00
1/3/2025,20.39,20.67,20.06,20.56,48983941.00
1/2/2025,20.23,20.43,20.00,20.22,46438527.00
12/31/2024,19.99,20.40,19.88,20.05,49846660.00
12/30/2024,20.01,20.12,19.73,19.82,59608129.00
12/27/2024,20.21,20.61,20.09,20.30,48260832.00
12/26/2024,20.23,20.67,20.08,20.44,39950379.00
12/24/2024,20.22,20.40,19.96,20.40,29884029.00
12/23/2024,19.58,20.23,19.52,20.20,57988379.00
12/20/2024,18.97,19.76,18.90,19.52,108453695.00
12/19/2024,19.53,19.69,19.03,19.06,69117805.00
12/18/2024,20.48,20.58,19.21,19.30,86041242.00
12/17/2024,20.64,20.77,20.29,20.44,51767152.00
12/16/2024,20.17,21.10,20.00,20.83,73832891.00
12/13/2024,20.60,20.80,20.25,20.34,55104078.00
12/12/2024,20.02,20.90,19.92,20.78,77695008.00
12/11/2024,20.14,20.25,19.87,20.12,75209344.00
12/10/2024,20.83,20.86,19.96,20.16,90004828.00
12/9/2024,20.92,21.06,20.73,20.81,68818227.00
12/6/2024,20.95,21.05,20.66,20.92,78539125.00
12/5/2024,22.04,22.19,20.66,20.80,167993500.00
12/4/2024,22.53,22.54,21.81,21.96,104649000.00
12/3/2024,23.68,23.75,22.44,22.47,138160500.00
12/2/2024,24.84,25.48,23.44,23.93,150497906.00
11/29/2024,23.72,24.28,23.60,24.05,36616754.00
11/27/2024,23.83,23.93,23.06,23.65,53992320.00
11/26/2024,24.95,24.99,23.81,24.05,69613562.00
11/25/2024,25.04,25.57,24.76,24.87,91128391.00
11/22/2024,24.35,24.68,24.14,24.50,36784719.00
11/21/2024,24.08,24.77,23.83,24.44,58928406.00
11/20/2024,24.07,24.21,23.55,24.01,50191512.00
11/19/2024,24.50,24.54,24.10,24.20,61190859.00
11/18/2024,24.33,25.02,24.16,24.84,59667328.00
11/15/2024,24.81,24.82,24.23,24.35,55104879.00
11/14/2024,25.12,25.61,24.93,25.03,49252121.00
11/13/2024,24.06,25.14,24.02,24.92,58201969.00
11/12/2024,24.66,24.96,23.89,24.16,62539727.00
11/11/2024,25.96,26.29,24.83,25.05,80185320.00
11/8/2024,26.00,26.43,25.83,26.20,76427984.00
11/7/2024,25.43,26.38,25.19,26.23,101489297.00
11/6/2024,24.30,25.12,24.05,25.05,116760492.00
11/5/2024,22.58,23.58,22.40,23.32,59153328.00
