Date,Open,High,Low,Close,Volume
6/18/2025,317.31,329.32,315.45,322.05,"95,137,688"
6/17/2025,326.09,327.26,314.74,316.35,"88,282,672"
6/16/2025,331.29,332.05,326.41,329.13,"83,925,859"
6/13/2025,313.97,332.99,313.30,325.31,"128,964,305"
6/12/2025,323.08,332.56,316.86,319.11,"105,127,508"
6/11/2025,334.40,335.50,322.50,326.43,"122,611,398"
6/10/2025,314.94,327.83,310.67,326.09,"151,256,500"
6/9/2025,285.96,309.83,281.85,308.58,"140,908,891"
6/6/2025,298.83,305.50,291.14,295.14,"164,747,703"
6/5/2025,322.49,324.55,273.21,284.70,"292,818,688"
6/4/2025,345.10,345.60,327.33,332.05,"98,912,078"
6/3/2025,346.60,355.40,343.04,344.27,"99,324,547"
6/2/2025,343.50,348.02,333.33,342.69,"81,873,828"
5/30/2025,355.52,363.68,345.29,346.46,"123,474,898"
5/29/2025,365.29,367.71,356.00,358.43,"88,545,672"
5/28/2025,364.84,365.00,355.91,356.90,"91,404,312"
5/27/2025,347.35,363.79,347.32,362.89,"120,146,398"
5/23/2025,337.92,343.18,333.21,339.34,"84,654,812"
5/22/2025,331.90,347.27,331.39,341.04,"97,113,422"
5/21/2025,344.43,347.35,332.20,334.62,"102,354,797"
5/20/2025,347.87,354.99,341.63,343.82,"131,715,500"
5/19/2025,336.30,343.00,333.37,342.09,"88,869,852"
5/16/2025,346.24,351.62,342.33,349.98,"95,895,672"
5/15/2025,340.34,346.14,334.72,342.82,"97,882,602"
5/14/2025,342.50,350.00,337.00,347.68,"136,997,297"
5/13/2025,320.00,337.59,316.80,334.07,"136,992,609"
5/12/2025,321.99,322.21,311.50,318.38,"112,826,703"
5/9/2025,290.21,307.04,290.00,298.26,"132,387,797"
5/8/2025,279.63,289.80,279.41,284.82,"97,539,445"
5/7/2025,276.88,277.92,271.00,276.22,"71,882,406"
5/6/2025,273.11,277.73,271.35,275.35,"76,715,789"
