Date,Open,High,Low,Close,Volume
6/17/2025,70.38,70.46,69.58,69.62,"15,437,030"
6/16/2025,71.20,71.62,70.24,70.52,"15,045,880"
6/13/2025,71.77,71.88,70.73,71.02,"17,467,160"
6/12/2025,72.25,72.40,71.60,72.24,"12,806,910"
6/11/2025,72.27,72.36,71.76,72.07,"12,718,510"
6/10/2025,71.90,72.69,71.76,72.35,"12,264,970"
6/9/2025,71.35,71.83,71.09,71.77,"12,281,340"
6/6/2025,71.09,71.48,70.94,71.35,"9,524,036"
6/5/2025,71.38,71.46,70.84,70.91,"13,535,620"
6/4/2025,71.26,71.85,70.68,71.37,"13,565,890"
6/3/2025,71.71,71.78,70.48,71.16,"20,139,770"
6/2/2025,72.03,72.04,71.36,72.00,"10,202,740"
5/30/2025,71.61,72.47,71.61,72.10,"28,019,551"
5/29/2025,71.00,71.66,70.46,71.49,"10,294,100"
5/28/2025,71.70,71.90,71.05,71.15,"8,710,896"
5/27/2025,71.74,72.22,71.56,71.78,"10,666,100"
5/23/2025,71.54,71.98,70.69,71.77,"12,822,150"
5/22/2025,71.84,71.99,70.96,71.14,"11,101,800"
5/21/2025,71.69,72.08,71.59,71.85,"12,094,420"
5/20/2025,71.80,72.13,71.43,71.69,"12,137,800"
5/19/2025,72.03,72.17,71.64,71.93,"13,282,780"
5/16/2025,71.86,72.26,71.43,72.00,"18,441,199"
5/15/2025,69.70,71.73,69.60,71.61,"19,817,100"
5/14/2025,68.88,69.34,68.58,69.16,"16,286,800"
5/13/2025,69.59,69.69,68.87,68.96,"14,389,050"
5/12/2025,70.15,70.33,68.70,69.53,"21,539,010"
5/9/2025,70.99,71.15,70.46,70.52,"11,228,950"
5/8/2025,72.20,72.47,71.13,71.17,"14,371,060"
5/7/2025,71.72,72.69,71.67,72.40,"15,025,790"
5/6/2025,71.68,71.90,71.16,71.72,"12,705,480"
5/5/2025,71.67,71.80,71.01,71.70,"11,932,690"
5/2/2025,71.50,71.82,71.10,71.65,"12,629,590"
5/1/2025,72.00,72.04,71.23,71.29,"18,034,160"
4/30/2025,73.35,73.48,71.69,72.55,"21,074,650"
4/29/2025,71.19,72.71,70.28,72.35,"16,244,060"
4/28/2025,72.08,72.26,71.31,71.79,"15,997,500"
4/25/2025,72.65,72.92,71.13,71.91,"16,315,980"
4/24/2025,73.02,73.43,72.30,72.52,"16,893,859"
4/23/2025,73.29,73.95,72.38,73.30,"16,353,930"
4/22/2025,73.00,74.38,72.92,73.90,"15,613,520"
4/21/2025,73.38,73.47,71.82,72.77,"16,037,190"
4/17/2025,71.90,73.43,71.72,73.00,"20,754,500"
4/16/2025,72.36,72.67,71.39,71.68,"15,276,220"
4/15/2025,72.62,72.63,71.73,71.86,"14,965,490"
4/14/2025,71.30,72.66,70.93,72.45,"13,930,210"
4/11/2025,70.91,71.85,70.54,71.43,"19,988,199"
4/10/2025,70.19,71.21,68.98,70.76,"22,450,160"
4/9/2025,67.92,70.47,67.28,69.95,"27,918,680"
4/8/2025,68.96,69.98,67.76,68.42,"22,774,430"
4/7/2025,66.23,69.38,66.05,68.37,"34,258,359"
4/4/2025,72.42,73.01,69.79,69.93,"26,517,289"
4/3/2025,72.48,73.95,72.32,73.18,"24,959,590"
4/2/2025,71.96,72.36,71.05,71.33,"14,606,520"
4/1/2025,71.68,71.91,71.19,71.87,"15,309,150"
3/31/2025,70.73,71.94,70.49,71.62,"24,016,869"
3/28/2025,70.81,71.32,69.53,70.37,"17,412,920"
3/27/2025,70.18,70.99,70.07,70.74,"11,663,370"
3/26/2025,68.92,70.35,68.90,70.02,"14,482,760"
3/25/2025,68.95,69.08,68.60,68.81,"12,513,900"
3/24/2025,68.80,69.08,68.33,68.95,"12,575,410"
3/21/2025,69.71,69.97,68.18,68.67,"47,479,473"
3/20/2025,69.31,69.81,69.09,69.71,"16,295,260"
3/19/2025,68.55,69.38,68.54,69.28,"14,780,010"
3/18/2025,70.11,70.19,69.30,69.38,"12,657,620"
3/17/2025,69.24,70.17,69.08,70.12,"15,634,810"
3/14/2025,68.51,69.26,68.38,69.16,"14,205,090"
3/13/2025,70.25,70.25,69.28,69.62,"15,746,570"
3/12/2025,70.37,70.73,69.74,69.94,"18,923,301"
3/11/2025,71.88,72.04,70.61,71.04,"28,076,439"
3/10/2025,71.96,73.22,71.32,71.45,"25,251,189"
3/7/2025,69.65,71.82,69.65,71.43,"28,393,260"
3/6/2025,70.41,70.53,69.45,70.46,"21,694,029"
3/5/2025,69.90,70.74,69.84,70.08,"23,933,631"
3/4/2025,72.07,72.65,69.88,70.19,"25,411,859"
3/3/2025,70.24,72.36,69.73,72.32,"21,717,600"
2/28/2025,71.45,71.57,70.56,71.21,"22,167,381"
2/27/2025,70.72,71.54,70.42,70.87,"16,789,480"
2/26/2025,71.27,71.28,70.53,70.80,"14,531,180"
2/25/2025,70.86,71.77,70.73,71.49,"21,555,590"
2/24/2025,70.84,71.73,70.33,70.59,"21,418,439"
2/21/2025,70.32,71.60,70.13,71.35,"21,662,250"
2/20/2025,69.71,70.07,69.42,70.04,"13,398,010"
2/19/2025,69.21,70.13,69.17,70.07,"16,032,270"
2/18/2025,68.55,69.37,68.42,69.05,"15,569,120"
2/14/2025,69.37,70.03,68.76,68.87,"20,779,090"
2/13/2025,69.00,69.61,68.76,69.50,"24,393,150"
2/12/2025,66.87,68.82,66.87,68.71,"26,033,760"
2/11/2025,67.50,67.67,66.41,67.60,"30,589,150"
2/10/2025,64.10,64.65,63.66,64.55,"16,154,300"
2/7/2025,63.43,63.92,63.27,63.84,"13,184,670"
2/6/2025,63.62,63.74,62.91,63.36,"13,423,410"
2/5/2025,62.72,63.29,62.59,63.12,"10,686,750"
2/4/2025,63.61,63.63,62.35,62.67,"15,678,000"
2/3/2025,63.18,63.63,62.43,63.35,"12,067,880"
1/31/2025,63.70,63.93,63.39,63.48,"12,102,060"
1/30/2025,63.85,64.29,63.23,64.05,"13,200,980"
1/29/2025,62.56,63.36,62.55,62.83,"11,325,640"
1/28/2025,63.51,64.04,62.28,62.36,"14,956,030"
1/27/2025,62.87,64.18,62.47,63.87,"20,742,920"
1/24/2025,61.72,62.01,61.44,61.92,"19,244,600"
1/23/2025,61.80,61.98,61.37,61.53,"16,528,420"
1/22/2025,62.12,62.29,61.66,61.78,"18,191,891"
1/21/2025,62.90,63.23,62.30,62.42,"19,817,070"
1/17/2025,62.31,62.77,62.17,62.71,"17,948,869"
1/16/2025,61.42,62.30,61.32,62.25,"12,585,530"
1/15/2025,62.33,62.62,61.68,61.77,"16,187,200"
1/14/2025,61.66,62.07,61.30,62.04,"16,658,289"
1/13/2025,61.13,61.85,60.71,61.65,"18,016,170"
1/10/2025,61.58,61.65,60.73,61.07,"22,424,949"
1/8/2025,60.99,61.77,60.93,61.71,"14,412,400"
1/7/2025,61.11,61.72,60.62,60.84,"17,799,631"
1/6/2025,61.50,61.57,60.66,60.81,"17,924,240"
1/3/2025,61.90,62.08,61.62,61.75,"10,403,200"
1/2/2025,62.35,62.75,61.62,61.84,"12,990,980"
12/31/2024,62.02,62.43,61.80,62.26,"9,256,664"
12/30/2024,62.34,62.34,61.68,62.03,"8,972,212"
12/27/2024,62.45,62.95,62.21,62.45,"8,542,773"
12/26/2024,62.62,62.74,62.40,62.57,"7,945,641"
12/24/2024,62.20,62.84,62.01,62.84,"5,019,131"
